"userId","time","comment"
"15234","2014-02-08 03:44:17.000000","cereal milk?!"
"userId","time","comment"
"15234","2014-08-09 01:27:45.000000","How is it; that's the brand new place, right?"
"userId","time","comment"
"15234","2014-08-09 05:39:01.000000","Great! I'll put it on my list!"
"userId","time","comment"
"15234","2017-03-03 02:37:36.000000","Hey! Just saw this, we just got to Kimchi Grill, if you want to join for food."
"userId","time","comment"
"15234","2017-03-03 03:25:48.000000","Sorry I missed you, next time!"
"userId","time","comment"
"15234","2019-10-20 15:27:42.000000","My sister used to do research in a lab there!"
"userId","time","comment"
"15234","2015-09-16 03:37:15.000000","Haha, why do I get a sticker?"
"userId","time","comment"
"15234","2015-09-16 12:02:23.000000","Lol. I didn't even know sending stickers was a thing one could do. Pretty good, was in DC for 4 nights for a conference, rather glad to be back. You?"
"userId","time","comment"
"15234","2015-09-17 04:24:50.000000","Haha, good, I guess? How's the job going?"
"userId","time","comment"
"15234","2015-09-17 04:28:44.000000","Open data, using apis to build applications around federal data, and civic (volunteer) hacking with cities."
"userId","time","comment"
"15234","2015-09-17 04:29:03.000000","Been going for years, always learning stuff"
"userId","time","comment"
"15234","2015-10-24 04:39:05.000000","Damn, did I just miss you?"
"userId","time","comment"
"15234","2016-01-30 05:57:45.000000","Pretty good! How are you doing? What are you up to?"
"userId","time","comment"
"15234","2016-01-30 06:02:18.000000","Yeah man, it is great here, The Library, where I just was, is my fav place to end the night in NYC."
"userId","time","comment"
"15234","2016-01-30 06:03:55.000000","So you just wondering around, hoping bars? We could meet up if you're going to be hanging out for much longer."
"userId","time","comment"
"15234","2016-01-30 06:12:27.000000","Awesome! I'm a 10 minute walk from some awesome mixed drinks at Goodnight Sonny, want to meet me there, then?"
"userId","time","comment"
"15234","2016-01-30 06:14:50.000000","Ok, meet you there"
"userId","time","comment"
"15234","2016-01-30 06:28:21.000000","On, there in about 3 minutes, I'll see you soon"
"userId","time","comment"
"15234","2014-07-29 15:47:42.000000","Totally jealous. That place is so good."
"userId","time","comment"
"15234","2014-06-29 18:59:18.000000","haha, seems we are both passing through."
"userId","time","comment"
"15234","2012-09-11 20:47:00.000000","Yeah? They didn't have half the items I wanted. :/"
"userId","time","comment"
"15234","2014-05-01 23:06:19.000000","How is it? Never been, but it looks good."
"userId","time","comment"
"15234","2016-07-02 03:38:41.000000","RP yeah, I didn't enter though. It seemed super sketch"
"userId","time","comment"
"15234","2016-07-06 04:16:43.000000","Staying until Thursday to explore! Working by Madison Square Garden now. How is NJ?"
"userId","time","comment"
"15234","2016-10-22 16:03:49.000000","Thomas just sent them on their way to you."
"userId","time","comment"
"15234","2016-10-22 16:18:56.000000","Ok, she didn't tell me you both were there. But Shaina has to go shopping anyway, so they should be good"
"userId","time","comment"
"15234","2016-06-04 04:12:12.000000","Fun! That's definitely a fav place of mine."
"userId","time","comment"
"15234","2014-03-27 23:04:53.000000","@Thomas I use the app, so no change. Sorry!"
"userId","time","comment"
"15234","2014-03-29 20:21:42.000000","I know right? They are just way overpriced."
"userId","time","comment"
"15234","2012-04-07 01:00:11.000000","Josh and I just got hungry and there we were."
"userId","time","comment"
"15234","2012-04-12 01:53:20.000000","I'm thinking: as long as they're not breaded."
"userId","time","comment"
"15234","2014-07-08 22:13:16.000000","You're in my town! How long?"
"userId","time","comment"
"15234","2014-07-09 12:41:01.000000","Definitely! Just tell me what time you'll be there."
"userId","time","comment"
"15234","2014-07-09 19:39:21.000000","Cool, I'll stop by around 5:30 and say hello/grab a drink!"
"userId","time","comment"
"15234","2014-09-16 01:14:57.000000","Wow, I didn't think such a thing was possible!"
"userId","time","comment"
"15234","2011-12-06 16:48:45.000000","Don't do it!"
"userId","time","comment"
"15234","2013-04-25 00:09:59.000000","Don't do it!"
"userId","time","comment"
"15234","2014-05-01 22:13:24.000000","Hey, how long are you in town? We should meet up!"
"userId","time","comment"
"15234","2017-03-05 14:16:48.000000","I'll keep an eye out for him Mollie!"
"userId","time","comment"
"15234","2017-08-16 12:39:23.000000","William yup! You too?"
"userId","time","comment"
"15234","2017-08-16 17:15:17.000000","Yup, see you soon!"
"userId","time","comment"
"15234","2015-10-31 23:44:12.000000","Anything fun happening there tonight, or just the game?"
"userId","time","comment"
"15234","2013-08-15 23:11:31.000000","Nope, down to the L for board game night in Williamsburg"
"userId","time","comment"
"15234","2016-09-14 23:22:17.000000","Thomas online news association conference!"
"userId","time","comment"
"15234","2016-11-19 18:40:51.000000","Helen Haha, my dad is better at Swarm than I am."
"userId","time","comment"
"15234","2015-10-01 21:47:02.000000","Foot check up"
"userId","time","comment"
"15234","2015-10-01 21:47:21.000000","All well"
"userId","time","comment"
"15234","2016-09-24 02:04:16.000000","Ahhh, I'm jelly. Isn't it great?"
"userId","time","comment"
"15234","2017-02-20 01:24:06.000000","Oooo, I'll have to try that next time!"
"userId","time","comment"
"15234","2017-01-08 23:07:21.000000","Anita it was great. I'll definitely go to another"
"userId","time","comment"
"15234","2015-12-05 03:11:57.000000","Hey, are you all drinking or eating over there?"
"userId","time","comment"
"15234","2015-12-05 03:16:45.000000","Ah, anyone care if we crash it?"
"userId","time","comment"
"15234","2015-12-05 03:20:16.000000","Haha ok, we'll try"
"userId","time","comment"
"15234","2017-04-02 02:31:23.000000","How long are you in NYC?"
"userId","time","comment"
"15234","2017-04-02 04:28:10.000000","Next time then!"
"userId","time","comment"
"15234","2015-04-30 00:58:11.000000","Haha, yeah, working from home today with my stupid foot."
"userId","time","comment"
"15234","2015-07-28 02:45:31.000000","Hi! You are literally next door, my apartment building is one over."
"userId","time","comment"
"15234","2013-04-22 18:09:52.000000","Yup. unless it shrunk and moved upstairs where I wouldn't have seen it."
"userId","time","comment"
"15234","2012-07-30 20:52:42.000000","Oh, true. But still good. One can dream."
"userId","time","comment"
"15234","2012-07-30 20:55:52.000000","soooonish"
"userId","time","comment"
"15234","2015-11-19 03:12:24.000000","Haha, yeah, here for a minute for work and sort of stumbled into a friend."
"userId","time","comment"
"15234","2016-04-10 17:46:28.000000","Yup! Not that much, but heading back in a few weeks"
"userId","time","comment"
"15234","2014-08-26 23:48:39.000000","back for seconds."
"userId","time","comment"
"15234","2015-01-22 00:00:23.000000","That sounds either awesome or awful."
"userId","time","comment"
"15234","2015-09-23 03:25:08.000000","Jewish High holiday period right now. Biggest religious two weeks in the year."
"userId","time","comment"
"15234","2017-06-02 00:42:27.000000","Lol, I'm literally next door in the restaurant"
"userId","time","comment"
"15234","2016-03-01 17:52:28.000000","Haha, are you kidding, I can't do that in any condition :P"
"userId","time","comment"
"15234","2017-11-12 03:40:28.000000","Nice! One of my favs!"
"userId","time","comment"
"15234","2018-05-19 21:46:10.000000",":D haha, all worked out anyway"
"userId","time","comment"
"15234","2014-11-27 18:16:28.000000","Grand Central has lines for ticket machines longer than most trains, it's horrifying."
"userId","time","comment"
"15234","2017-06-02 01:03:51.000000","Still at Salon, yup! Like salon stuff but with different links?"
"userId","time","comment"
"15234","2018-11-15 18:09:05.000000","My fav!"
"userId","time","comment"
"15234","2017-09-02 00:22:57.000000","One of my favorite bars!"
"userId","time","comment"
"15234","2021-12-12 01:42:21.000000","Charise yes! Let me know when you're in town and we'll meet up!"
"userId","time","comment"
"15234","2018-01-14 11:58:29.000000","Thomas just dropping off Jordan"
"userId","time","comment"
"15234","2019-08-06 18:15:44.000000","Here for WordCamp Publishers?"
"userId","time","comment"
"15234","2019-08-08 02:39:41.000000","Tony lol my bad, for some reason it showed you were near by the same time I landed, but it turns out this is not at all the right airport ><"
"userId","time","comment"
"15234","2018-06-03 00:17:39.000000","Rooftop Movies!"
"userId","time","comment"
"15234","2017-07-19 01:27:21.000000","Hey! So you live in LIC now?"
"userId","time","comment"
"15234","2017-09-14 16:30:09.000000","Greg that's what I got! Very good."
"userId","time","comment"
"15234","2020-01-29 16:00:56.000000","Got a nice upgrade on our last night in Madrid!"
"userId","time","comment"
"15234","2017-10-14 00:49:06.000000","Still have the bottles from the time we met up here? :P"
"userId","time","comment"
"15234","2017-10-14 19:59:08.000000","Fun! :D"
"userId","time","comment"
"15234","2017-07-19 01:28:01.000000","One of my favorite bars!"
"userId","time","comment"
"15234","2017-10-13 22:30:52.000000","Tim I'm in it for real now :P"
"userId","time","comment"
"15234","2020-01-10 01:05:28.000000","Buddy, how are you not at a piano bar with me?"
"userId","time","comment"
"15234","2018-05-04 16:17:15.000000","Oooo, how is it?"
"userId","time","comment"
"15234","2018-05-05 21:04:03.000000","Cool, I live not far from there, I'll have to take a peak"
"userId","time","comment"
"15234","2017-07-30 21:44:18.000000","PressForward stuff this trip!"
"userId","time","comment"
"15234","2019-07-19 23:07:28.000000","Jealous! I love their events!"
"userId","time","comment"
"15234","2020-02-22 03:29:25.000000","Yuri you still here?"
"userId","time","comment"
"15234","2023-09-09 23:17:14.000000","Ian  Work trip to a conference in Spain!"
"userId","time","comment"
"15234","2021-07-31 02:21:21.000000","Tony it's so good!"
"userId","time","comment"
"15234","2015-12-06 20:29:05.000000","Nah, some day maybe!"
"userId","time","comment"
"15234","2016-10-25 12:48:09.000000","Jodi it was! Fried shallots, onions, grilled corn, lettuce and wine other stuff I'm not remembering haha"
"userId","time","comment"
"15234","2016-10-29 12:02:40.000000","Turkey, it was very good"
"userId","time","comment"
"15234","2016-03-27 00:38:58.000000","Indie Shuffle Showcase!  https://www.instagram.com/p/BDb8ibDpPwS/ (video)"
"userId","time","comment"
"15234","2016-08-06 00:54:03.000000","Anita I agree with what you heard! It's very good, fast and inexpensive too. I highly recommend it!"
"userId","time","comment"
"15234","2019-07-28 00:37:06.000000","This is the end!"
"userId","time","comment"
"15234","2017-09-30 15:43:32.000000","Have fun in Iceland, it's the best!"
"userId","time","comment"
"15234","2016-03-07 04:27:54.000000","Time shifting and remote work."
"userId","time","comment"
"15234","2016-10-09 01:15:15.000000","RP a monster battle!"
"userId","time","comment"
"15234","2014-03-15 16:10:08.000000","Matthew it was really good. everything was delicious, though slightly pricey."
"userId","time","comment"
"15234","2023-09-10 11:13:33.000000","👋"
"userId","time","comment"
"15234","2024-06-16 03:48:28.000000","Jonah and Tara's wedding"
"userId","time","comment"
"15234","2023-09-16 20:36:31.000000","Def a locals spot at night"
"userId","time","comment"
"15234","2023-08-06 21:20:23.000000","Really good cold brew"
"userId","time","comment"
"15234","2022-06-18 15:57:10.000000","Will find out today, friends are getting married here because the bad brand association has made it very cheap to book compared to other wineries and venues apparently."
"userId","time","comment"
"15234","2023-09-17 15:26:08.000000","Did we always have exiting passport control? I can't remember but this one sucks. So slow"
"userId","time","comment"
"15234","2023-09-15 22:27:17.000000","I followed my ears and found three bar crawl groups in one alley"
"userId","time","comment"
"15234","2023-09-15 22:29:19.000000","Also, this place sells cheese!"
"userId","time","comment"
"15234","2017-05-27 04:46:11.000000","Lol, I was just there 20 minutes ago"
"userId","time","comment"
"15234","2023-09-16 14:57:26.000000","A really nice place to just quietly sit a minute."
"userId","time","comment"
"15234","2019-07-24 16:47:12.000000","Tony 😁"
"userId","time","comment"
"15234","2020-01-10 01:11:00.000000","How was it? I've been interested in going to this place, how is it?"
"userId","time","comment"
"15234","2023-09-16 23:03:21.000000","Very solid music selection here!"
"userId","time","comment"
"15234","2023-09-16 21:24:34.000000","Veggie options!"
"userId","time","comment"
"15234","2020-10-25 19:15:53.000000","This place is great!"
"userId","time","comment"
"15234","2023-09-10 11:09:13.000000","Theresa you hanging around waiting for the now delayed 1:25?"
"userId","time","comment"
"15234","2023-09-10 11:21:54.000000","Theresa I'm over in the waiting Plaza by the hediard! It's no great knocks, so if you're someplace better, I'll come to you!"
"userId","time","comment"
"15234","2015-11-21 05:11:53.000000","Just a little midnight music to go with my mojito.  https://instagram.com/p/-Va0UHpP_G/ (video)"
"userId","time","comment"
"15234","2014-02-08 04:26:11.000000","You coming in to New York every week now? :P We should catch up if you have any free time."
"userId","time","comment"
"15234","2014-02-08 05:39:52.000000","Greg Ahh, now it makes sense. Well next time you're in town with some free time ping me and we'll hang out!"
"userId","time","comment"
"15234","2015-09-24 01:19:30.000000","Hey, let's catch up at ONA! See you there."
"userId","time","comment"
"15234","2015-09-25 23:42:35.000000","Didn't end up going to that one, you going to wjchat?"
"userId","time","comment"
"15234","2015-09-26 01:56:18.000000","Oh no! Sorry I missed you. Next time in DC for sure!"
"userId","time","comment"
"15234","2014-05-19 21:18:40.000000","Welcome back!"
"userId","time","comment"
"15234","2014-06-26 18:52:04.000000",":("
"userId","time","comment"
"15234","2014-05-17 22:15:22.000000","@air"
"userId","time","comment"
"15234","2015-12-27 22:42:47.000000","Haha"
"userId","time","comment"
"15234","2016-03-01 17:30:43.000000","I know!"
"userId","time","comment"
"15234","2014-02-23 04:44:59.000000","looks good!"
"userId","time","comment"
"15234","2015-04-11 02:31:31.000000","Hey, Swarm says you are down the street from me. Still around? I can say hello in person if that's ok."
"userId","time","comment"
"15234","2015-04-11 02:37:27.000000","haha, oh well! yeah, still tickets left? I'm up to check out JC, I'll try and make it! Cya then, have a good night!"
"userId","time","comment"
"15234","2014-05-09 15:58:58.000000","Staying in DC?"
"userId","time","comment"
"15234","2014-08-21 18:36:23.000000","Superuser I think"
"userId","time","comment"
"15234","2016-08-15 14:19:22.000000","It was very nice!"
"userId","time","comment"
"15234","2015-10-31 04:02:43.000000","Thanks!"
"userId","time","comment"
"15234","2016-10-18 19:46:03.000000","Oh, one of my favs!"
"userId","time","comment"
"15234","2015-10-10 00:38:41.000000","That place is a fav!"
"userId","time","comment"
"15234","2013-02-22 03:02:19.000000","sounding good so far!"
"userId","time","comment"
"15234","2014-06-28 02:20:03.000000","such good food there!"
"userId","time","comment"
"15234","2014-07-18 11:31:28.000000","That sounds adorable."
"userId","time","comment"
"15234","2012-02-05 03:30:51.000000","You should say hello!"
"userId","time","comment"
"15234","2013-01-21 05:19:00.000000","afraid not. next time!"
"userId","time","comment"
"15234","2012-03-28 22:58:49.000000","Sure, but not for long."
"userId","time","comment"
"15234","2016-07-21 02:23:59.000000","My fav of the barcades!"
"userId","time","comment"
"15234","2016-01-09 04:41:18.000000","That looks sooooooo good"
"userId","time","comment"
"15234","2014-03-09 17:23:18.000000","Hey, I live about 3 blocks from here!"
"userId","time","comment"
"15234","2014-03-09 17:29:48.000000","Grabbing brunch with family down the street just now. Coffee after you're done?"
"userId","time","comment"
"15234","2014-03-09 18:18:17.000000","Still food-ing. Not sure. Mby 30 or 45 min? If you can't wait, pop in where I am and say hello? I'm at Open Door, about a block from you."
"userId","time","comment"
"15234","2014-02-15 15:49:19.000000","That's a great name, lol."
"userId","time","comment"
"15234","2012-07-28 20:10:05.000000","lol. It was an adventure!"
"userId","time","comment"
"15234","2013-05-18 17:40:51.000000","There can only be one. :P"
"userId","time","comment"
"15234","2014-05-18 20:02:01.000000","So much good food! Have fun!"
"userId","time","comment"
"15234","2011-03-22 17:03:05.000000","Ha, did I just miss you again?"
"userId","time","comment"
"15234","2017-03-09 03:59:04.000000","How long are you in NYC for?"
"userId","time","comment"
"15234","2016-07-01 00:33:15.000000","Seems nice. Got a free cookie."
"userId","time","comment"
"15234","2016-10-16 00:49:11.000000","Gotta get all the photo points"
"userId","time","comment"
"15234","2014-06-05 16:16:06.000000","Good call, that place is great!"
"userId","time","comment"
"15234","2012-12-17 00:46:54.000000","indeed!"
"userId","time","comment"
"15234","2013-03-25 20:25:28.000000","nah. just working on the go. *someone's* house only has instant coffee"
"userId","time","comment"
"15234","2016-06-03 02:13:16.000000","I walk by here all the time. How is it?"
"userId","time","comment"
"15234","2016-06-03 12:14:46.000000","Good to know, I'll have to try it out!"
"userId","time","comment"
"15234","2016-07-07 19:43:48.000000","Laura 👋"
"userId","time","comment"
"15234","2016-07-07 20:46:08.000000","Laura Haha, sounds like a plan! Sorry I missed you"
"userId","time","comment"
"15234","2012-11-11 20:09:02.000000","Yup, they just opened one last month."
"userId","time","comment"
"15234","2016-03-31 23:51:59.000000","Yup, last check up. All is well!"
"userId","time","comment"
"15234","2015-11-19 00:52:49.000000","Yup, briefly in Fairfax for work."
"userId","time","comment"
"15234","2016-12-17 21:22:12.000000","Yup!"
"userId","time","comment"
"15234","2016-12-18 06:36:53.000000","A lot!"
"userId","time","comment"
"15234","2015-03-21 04:02:24.000000","Chilling with Suzanne"
"userId","time","comment"
"15234","2014-03-09 17:24:01.000000","Is this museum fun? I've never been."
"userId","time","comment"
