"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bfcd469757f99b91e52e0","15234","2024-12-01 06:06:12.324000","2024-12-01 17:32:06.521000","Android","12","SM-G975U1","false","40.7432939","-73.9582482","Queens","New York","8600000US11101","US","Home"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bfcd469757f99b91e52e0","15234","2024-12-01 06:06:12.324000","2024-12-01 17:32:06.521000","Android","12","SM-G975U1","false","40.7432939","-73.9582482","Queens","New York","8600000US11101","US","Home"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bfcd40d0d0c647aa34ca8","15234","2024-12-01 06:06:12.324000","2024-12-01 17:32:06.521000","Android","12","SM-G975U1","false","40.7432939","-73.9582482","Queens","New York","8600000US11101","US","Home"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bfcd40d0d0c647aa34ca8","15234","2024-12-01 06:06:12.324000","2024-12-01 17:32:06.521000","Android","12","SM-G975U1","false","40.7432939","-73.9582482","Queens","New York","8600000US11101","US","Home"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bf3ad6d2f8b43dad4d132","15234","2024-12-01 05:27:09.579000","2024-12-01 05:35:09.857000","Android","12","SM-G975U1","false","40.7130166","-73.9514632","Brooklyn","New York","8600000US11211","US","Venue"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bea0f6f98afc62ae09d69","15234","2024-12-01 04:46:07.520000","2024-12-01 05:13:07.445000","Android","12","SM-G975U1","false","40.7333658","-73.9875149","New York","New York","8600000US10003","US","Venue"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
"674bd49c99e4cf5917e87ae2","15234","2024-12-01 03:14:36.156000","2024-12-02 06:49:25.687000","Android","12","SM-G975U1","false","40.740283","-73.9922993","New York","New York","8600000US10011","US","Venue"
"id","userId","timeArrived","timeDeparted","os","osVersion","deviceModel","isTraveling","latitude","longitude","city","state","postalCode","countryCode","locationType"
